airport_id,name,iso_country,iso_region,city,iata_code
42613,Mâcon-Charnay Airfield,FR,FR-BFC,"Charnay-lès-Mâcon, Saône-et-Loire",
42614,Saint-Yan Airport,FR,FR-BFC,Saint-Yan,SYT
42615,Roanne-Renaison Airport,FR,FR-ARA,Saint-Léger-sur-Roanne,RNE
42616,Annecy Haute-Savoie Mont Blanc Airport,FR,FR-ARA,Epagny Metz-Tessy,NCY
42617,Montélimar-Ancône Airfield,FR,FR-ARA,"Montélimar, Drôme",
42618,Saint-Rambert-d'Albon Airfield,FR,FR-ARA,"Albon, Drôme",
42619,Grenoble Alpes Isère Airport,FR,FR-ARA,"Saint-Étienne-de-Saint-Geoirs, Isère",GNB
42620,Montluçon-Domérat Airfield,FR,FR-ARA,"Domérat, Allier",
42621,Valence-Chabeuil Airport,FR,FR-ARA,"Chabeuil, Drôme",VAF
42622,Vichy-Charmeil Airport,FR,FR-ARA,"Charmeil, Allier",VHY
42623,Aurillac Airport,FR,FR-ARA,Aurillac,AUR
42624,"Châteauroux-Déols ""Marcel Dassault"" Airport",FR,FR-CVL,Châteauroux/Déols,CHR
42625,Lyon Bron Airport,FR,FR-ARA,"Chassieu, Lyon",LYN
42627,Aix-Les Milles Airfield,FR,FR-PAC,"Aix-en-Provence, Bouches-du-Rhône",
42628,Le Luc-Le Cannet Airfield,FR,FR-PAC,"Le Cannet-des-Maures, Var",
42629,Cannes-Mandelieu Airport,FR,FR-PAC,"Cannes, Alpes-Maritimes",CEQ
42630,Nîmes Courbessac Airfield,FR,FR-OCC,Nîmes,
42631,Fayence-Tourrettes Airfield,FR,FR-PAC,Fayence,
42632,Aérodrome de la Montagne Noire,FR,FR-OCC,Revel,
42633,Saint-Étienne-Bouthéon Airport,FR,FR-ARA,Saint-Étienne/Bouthéon,EBU
42634,Istres Le Tubé Air Base,FR,FR-PAC,Istres/Le Tubé,
42635,Carcassonne Airport,FR,FR-OCC,Carcassonne/Salvaza,CCF
42636,Marseille Provence Airport,FR,FR-PAC,"Marignane, Bouches-du-Rhône",MRS
42637,Nice-Côte d'Azur Airport,FR,FR-PAC,"Nice, Alpes-Maritimes",NCE
42638,Orange-Caritat (BA 115) Air Base,FR,FR-PAC,Orange/Caritat,
42639,Perpignan-Rivesaltes (Llabanère) Airport,FR,FR-OCC,Perpignan/Rivesaltes,PGF
42640,Le Castellet Airport,FR,FR-PAC,"Le Castellet, Var",CTT
42641,Barcelonnette - Saint-Pons Airfield,FR,FR-PAC,Le Castellet,BAE
42642,Aérodrome d'Alès Cévennes,FR,FR-OCC,Alès/Deaux,
42643,Montpellier-Méditerranée Airport,FR,FR-OCC,Montpellier/Méditerranée,MPL
42644,Béziers-Vias Airport,FR,FR-OCC,Béziers/Vias,BZR
42645,Avignon-Caumont Airport,FR,FR-PAC,"Avignon, Vaucluse",AVN
42646,Aérodrome de Castelnaudary-Villeneuve,FR,FR-OCC,Castelnaudary Villeneuve,
42647,Château-Arnoux-Saint-Auban Airfield,FR,FR-PAC,"Château-Arnoux-Saint-Auban, Alpes-de-Haute-Provence",
42648,Salon-de-Provence (BA 701) Air Base,FR,FR-PAC,Salon,
42649,Lézignan-Corbières Airfield,FR,FR-OCC,Lézignan-Corbières,
42650,Gap-Tallard Airfield,FR,FR-PAC,"Tallard, Hautes-Alpes",GAT
42651,Mende-Brenoux Airfield,FR,FR-OCC,Mende/Brénoux,MEN
42655,Vinon Airfield,FR,FR-PAC,"Vinon-sur-Verdon, Var",
42657,Aérodrome de Carpentras,FR,FR-PAC,Carpentras,
42658,Aérodrome d'Aspres-sur-Buëch,FR,FR-PAC,Aspres sur Buëch,
42663,Berre-la-Fare Airfield,FR,FR-PAC,"Berre-l'Étang, Bouches-du-Rhône",
42664,Sistéron-Vaumeilh Airfield,FR,FR-PAC,"Vaumeilh, Alpes-de-Haute-Provence",
42665,Avignon-Pujaut Airfield,FR,FR-OCC,"Pujaut, Gard",
42666,Uzès-Belvezet Airfield,FR,FR-OCC,"Mont-Lozère-et-Goulet, Lozère",
42667,Valréas Visan Airfield,FR,FR-PAC,Visan,
42670,Saint-Étienne-en-Dévoluy AltiSurface,FR,FR-PAC,Dévoluy,
42672,Avord (BA 702) Air Base,FR,FR-CVL,Avord,
42673,Paris-Beauvais Airport,FR,FR-HDF,Tillé,BVA
42674,Châteaudun,FR,FR-CVL,Châteaudun,
42675,Aérodrome de Saumur - Saint-Florent,FR,FR-PDL,Saumur/Saint-Florent,
42676,Évreux-Fauville (BA 105) Air Base,FR,FR-NOR,Évreux/Fauville,EVX
42678,Aérodrome de Flers Saint-Paul,FR,FR-NOR,Flers,
42679,Le Havre-Octeville Airport,FR,FR-NOR,Le Havre,LEH
42680,Abbeville-Buigny Baie de Somme Airfield,FR,FR-HDF,Buigny-Saint-Maclou,
42681,Orléans-Bricy (BA 123) Air Base,FR,FR-CVL,"Boulay-les-Barres, Loiret",
42682,Châlons-Vatry Airport,FR,FR-GES,Bussy-Lettrée,XCR
